grain_ID,grain_R,grain_asp_small,grain_asp,KDE_radius,KDE_radius frequency,KDE_grainasp,KDE_asp,Volume
12675,42.78179339,0.748097923,1.3367234,,,,,0
12676,19.33944457,0.705065518,1.418307908,,,,,0
12677,13.89155745,0.684599274,1.460708532,,,,,0
12678,48.77874946,0.644954361,1.550497306,,,,,0
12679,65.12663997,0.419717193,2.382556678,,,,,0
12680,14.65807536,0.64775503,1.543793492,,,,,0
12681,16.20511204,0.495937188,2.01638438,,,,,0
12682,12.61566261,0.677221361,1.476622058,,,,,0
12683,7.681174186,0.673166454,1.485516686,,,,,0
12684,20.34214473,0.679491903,1.471687882,,,,,0
12685,23.9780573,0.437100387,2.287803966,,,,,0
12686,14.9270533,0.769797477,1.299042969,,,,,0
12687,31.15838816,0.518397963,1.929019927,,,,,0
12688,5.641895835,0.560584445,1.783852564,,,,,0
12689,14.38406848,0.688356272,1.452736091,,,,,0
12690,40.73315949,0.848924424,1.17796116,,,,,0
12691,21.85096861,0.499160317,2.003364384,,,,,0
12692,32.16375491,0.766148891,1.305229325,,,,,0
12693,12.2962269,0.674549834,1.482470159,,,,,0
12694,14.38406848,0.703034075,1.422406162,,,,,0
12695,18.92349392,0.967142241,1.033974071,,,,,0
12696,22.56758334,0.843736877,1.185203619,,,,,0
12697,28.62949453,0.631139121,1.584436722,,,,,0
12698,15.45096808,0.679352525,1.471989818,,,,,0
12699,23.93653682,0.778435625,1.284627742,,,,,0
12700,21.6785728,0.629962196,1.587396842,,,,,0
12701,21.11004123,0.787830952,1.269307835,,,,,0
12702,23.6017436,0.747688922,1.337454616,,,,,0
12703,9.772050238,0.667228265,1.498737466,,,,,0
12704,12.92720736,0.83686879,1.194930451,,,,,0
12705,23.76972966,0.71321022,1.402111148,,,,,0
12706,22.21216612,0.553891892,1.805406462,,,,,0
12707,15.95769122,0.590539156,1.693367813,,,,,0
12708,6.198661324,0.359010037,2.785437442,,,,,0
12709,12.92720736,0.762635995,1.311241544,,,,,0
12710,37.57000667,0.90490027,1.105094155,,,,,0
12711,35.51482682,0.902611479,1.107896391,,,,,0
12712,27.49519921,0.653896212,1.529294683,,,,,0
12713,30.90193616,0.672026733,1.488036043,,,,,0
12714,4.886025119,0.742685302,1.346465316,,,,,0
12715,21.6681121,0.650767169,1.536647893,,,,,0
12716,14.65807536,0.884568734,1.1304944,,,,,0
12717,30.83748993,0.920518434,1.08634435,,,,,0
12718,16.80773703,0.530004909,1.886774975,,,,,0
12719,7.463526652,0.505442023,1.978466283,,,,,0
12720,28.90611443,0.775123551,1.290116909,,,,,0
12721,33.61547406,0.742257934,1.347240567,,,,,0
12722,18.92349392,0.696285343,1.436192805,,,,,0
12723,8.920620581,0.66091978,1.513042929,,,,,0
12724,6.909882989,0.53851897,1.856944798,,,,,0
12725,31.15838816,0.627891937,1.59263074,,,,,0
12726,12.61566261,0.716807191,1.395075291,,,,,0
12727,31.85298671,0.670825992,1.490699543,,,,,0
